year,hs_section_name,median_share_rerouted
2014,Arms and ammunition,0.0
2014,Articles of metal,0.0
2014,Articles of wood,0.0
2014,Beverages and tobacco,0.0
2014,Chemicals,0.0
2014,Fats and oils,0.0
2014,Footwear and headwear,0.0
2014,Live animals,0.0
2014,Machinery and mechanical appliances,5.882353
2014,Mineral products,0.0
2014,Misc manufactured articles,0.0
2014,"Optical, photographic, instruments",1.7857143
2014,Paper and pulp of wood,0.0
2014,Plastics,0.0
2014,Precious stones and metals,0.0
2014,Skins and leather,0.0
2014,"Stone, cement, ceramic, glass",0.0
2014,Textiles,0.0
2014,Vegetable products,0.0
2014,Vehicles and aircraft,0.0
2015,Arms and ammunition,0.0
2015,Articles of metal,0.0
2015,Articles of wood,0.0
2015,Beverages and tobacco,0.0
2015,Chemicals,0.0
2015,Fats and oils,0.0
2015,Footwear and headwear,0.0
2015,Live animals,0.0
2015,Machinery and mechanical appliances,6.25
2015,Mineral products,0.0
2015,Misc manufactured articles,0.58959156
2015,"Optical, photographic, instruments",2.0408163
2015,Paper and pulp of wood,0.0
2015,Plastics,0.0
2015,Precious stones and metals,0.0
2015,Skins and leather,0.0
2015,"Stone, cement, ceramic, glass",0.0
2015,Textiles,0.0
2015,Vegetable products,0.0
2015,Vehicles and aircraft,0.0
2016,Arms and ammunition,0.0
2016,Articles of metal,0.0
2016,Articles of wood,0.0
2016,Beverages and tobacco,0.0
2016,Chemicals,0.0
2016,Fats and oils,0.0
2016,Footwear and headwear,0.0
2016,Live animals,0.0
2016,Machinery and mechanical appliances,6.179203
2016,Mineral products,0.0
2016,Misc manufactured articles,0.0
2016,"Optical, photographic, instruments",2.5978408
2016,Paper and pulp of wood,0.0
2016,Plastics,0.0
2016,Precious stones and metals,0.0
2016,Skins and leather,0.0
2016,"Stone, cement, ceramic, glass",0.0
2016,Textiles,0.0
2016,Vegetable products,0.0
2016,Vehicles and aircraft,0.0
2017,Arms and ammunition,0.0
2017,Articles of metal,0.0
2017,Articles of wood,0.0
2017,Beverages and tobacco,0.0
2017,Chemicals,0.0
2017,Fats and oils,0.0
2017,Footwear and headwear,0.0
2017,Live animals,0.0
2017,Machinery and mechanical appliances,6.6666665
2017,Mineral products,0.0
2017,Misc manufactured articles,0.0
2017,"Optical, photographic, instruments",3.125
2017,Paper and pulp of wood,0.0
2017,Plastics,0.0
2017,Precious stones and metals,0.0
2017,Skins and leather,0.0
2017,"Stone, cement, ceramic, glass",0.0
2017,Textiles,0.0
2017,Vegetable products,0.0
2017,Vehicles and aircraft,0.0
2018,Arms and ammunition,0.0
2018,Articles of metal,0.0
2018,Articles of wood,0.0
2018,Beverages and tobacco,0.0
2018,Chemicals,0.0
2018,Fats and oils,0.0
2018,Footwear and headwear,0.0
2018,Live animals,0.0
2018,Machinery and mechanical appliances,6.542056
2018,Mineral products,0.0
2018,Misc manufactured articles,0.0
2018,"Optical, photographic, instruments",2.667141
2018,Paper and pulp of wood,0.0
2018,Plastics,0.0
2018,Precious stones and metals,0.0
2018,Skins and leather,0.0
2018,"Stone, cement, ceramic, glass",0.0
2018,Textiles,0.0
2018,Vegetable products,0.0
2018,Vehicles and aircraft,0.0
2019,Arms and ammunition,0.0
2019,Articles of metal,0.0
2019,Articles of wood,0.0
2019,Beverages and tobacco,0.0
2019,Chemicals,0.0
2019,Fats and oils,0.0
2019,Footwear and headwear,0.0
2019,Live animals,0.0
2019,Machinery and mechanical appliances,6.8965516
2019,Mineral products,0.0
2019,Misc manufactured articles,0.0
2019,"Optical, photographic, instruments",0.0
2019,Paper and pulp of wood,0.0
2019,Plastics,2.1203516
2019,Precious stones and metals,0.0
2019,Skins and leather,0.0
2019,"Stone, cement, ceramic, glass",0.0
2019,Textiles,0.0
2019,Vegetable products,0.0
2019,Vehicles and aircraft,0.0
